S.No.,State Code,State Name (In English),District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code
2203,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585554,2,Vudutha,,Rural,Inhabitant,1655300,585554
2204,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585555,2,Kommanuru,,Rural,Inhabitant,1655400,585555
2205,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585560,2,Jerrigondi,,Rural,Inhabitant,1655900,585560
2206,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585562,2,Ravulakota,,Rural,Inhabitant,1656100,585562
2207,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585563,2,Pakalajeedi,,Rural,Inhabitant,1656200,585563
2208,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585566,2,U.Cheedipalem,,Rural,Inhabitant,1656500,585566
2209,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585570,2,Nallabilli,,Rural,Inhabitant,1656900,585570
2210,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585574,2,Kindangi,,Rural,Inhabitant,1657300,585574
2211,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585576,2,Budaralla,,Rural,Inhabitant,1657500,585576
2212,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585578,2,Gudapalle,,Rural,Inhabitant,1657700,585578
2213,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585579,2,Pidathamamidi,,Rural,Inhabitant,1657800,585579
2214,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585581,2,Solabu,,Rural,Inhabitant,1658000,585581
2215,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585582,2,Marriwada,,Rural,Inhabitant,1658100,585582
2216,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585584,2,Balabadrapadu,,Rural,Inhabitant,1658300,585584
2217,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585585,2,Sakulapalem,,Rural,Inhabitant,1658400,585585
2218,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585586,2,Vanthamarri,,Rural,Inhabitant,1658500,585586
2219,28,Andhra Pradesh,745,Alluri Sitharama Raju,4851,Koyyuru,585589,2,Balarevulu,,Rural,Inhabitant,1658800,585589
